#k-distance eigenvalue[eV]
1.25923784 4.30050000
1.38780723 4.35530000
1.51637659 5.28700000
1.64494597 6.26810000
1.77351533 7.29760000
1.90208472 8.33730000
2.03065408 9.38210000
2.15922346 10.12240000
2.15922346 10.12240000
2.20467960 10.08180000
2.25013575 9.96660000
2.29559187 9.79200000
2.34104801 9.57500000
2.38650415 9.33000000
2.43196030 9.06910000
2.47741642 8.78790000
2.52287256 8.41170000
2.56832871 8.04910000
2.56832871 8.04910000
2.70469711 7.09740000
2.84106554 6.72560000
2.97743395 6.15320000
3.11380236 5.79240000
3.25017078 5.67630000
3.38653919 5.55880000
3.52290760 4.82800000
3.65927603 3.80110000
3.79564443 3.36470000

0.00000000 10.65430000
0.11134435 9.83740000
0.22268869 8.86410000
0.33403304 8.02970000
0.44537737 7.43710000
0.55672172 7.13410000
0.66806606 7.14110000
0.77941041 7.36330000
0.89075474 7.64800000
1.00209910 7.78460000
1.00209910 7.78460000
1.13066848 7.38250000
1.25923784 6.66310000
1.38780723 6.64170000
1.51637659 7.52450000
1.64494597 8.66720000
1.77351533 9.86280000
1.90208472 10.72420000
2.03065408 11.61330000
2.15922346 11.07910000
2.15922346 11.07910000
2.20467960 10.96990000
2.25013575 10.69850000
2.29559187 10.34830000
2.34104801 9.96650000
2.38650415 9.57150000
2.43196030 9.18680000
2.47741642 8.79610000
2.52287256 8.51930000
2.56832871 8.24240000
2.56832871 8.24240000
2.70469711 7.43910000
2.84106554 7.01420000
2.97743395 6.48980000
3.11380236 6.19100000
3.25017078 6.15210000
3.38653919 6.39610000
3.52290760 6.87590000
3.65927603 7.46690000
3.79564443 7.78460000

0.00000000 10.65430000
0.11134435 9.83740000
0.22268869 8.86410000
0.33403304 8.02970000
0.44537737 7.43710000
0.55672172 7.13410000
0.66806606 7.14110000
0.77941041 7.36330000
0.89075474 7.64800000
1.00209910 7.78460000
1.00209910 7.78460000
1.13066848 7.84460000
1.25923784 8.02460000
1.38780723 8.32450000
1.51637659 8.73910000
1.64494597 9.27710000
1.77351533 9.96010000
1.90208472 11.02950000
2.03065408 11.84340000
2.15922346 11.07910000
2.15922346 11.07910000
2.20467960 10.99300000
2.25013575 10.77660000
2.29559187 10.49330000
2.34104801 10.18030000
2.38650415 9.85050000
2.43196030 9.52970000
2.47741642 9.19980000
2.52287256 8.88230000
2.56832871 8.57450000
2.56832871 8.57450000
2.70469711 7.71600000
2.84106554 7.92710000
2.97743395 9.66360000
3.11380236 10.69990000
3.25017078 9.43690000
3.38653919 8.08680000
3.52290760 7.62460000
3.65927603 7.71260000
3.79564443 7.78460000

0.00000000 11.36700000
0.11134435 10.83470000
0.22268869 9.92390000
0.33403304 9.12830000
0.44537737 8.91780000
0.55672172 9.09750000
0.66806606 9.08340000
0.77941041 8.59740000
0.89075474 8.12660000
1.00209910 7.94920000
1.00209910 7.94920000
1.13066848 8.18520000
1.25923784 8.82820000
1.38780723 9.75330000
1.51637659 10.85100000
1.64494597 12.01590000
1.77351533 13.09270000
1.90208472 12.90610000
2.03065408 11.84340000
2.15922346 12.61680000
2.15922346 12.61680000
2.20467960 12.69610000
2.25013575 12.91000000
2.29559187 13.19120000
2.34104801 13.49490000
2.38650415 13.80920000
2.43196030 14.06950000
2.47741642 14.31680000
2.52287256 14.55450000
2.56832871 14.75470000
2.56832871 14.75470000
2.70469711 14.40970000
2.84106554 13.50550000
2.97743395 12.66170000
3.11380236 11.20660000
3.25017078 10.48930000
3.38653919 9.75770000
3.52290760 8.89920000
3.65927603 8.21260000
3.79564443 7.94920000

0.00000000 11.37340000
0.11134435 12.28860000
0.22268869 13.53800000
0.33403304 13.62510000
0.44537737 12.45500000
0.55672172 11.32060000
0.66806606 10.67120000
0.77941041 10.77930000
0.89075474 11.11150000
1.00209910 11.27480000
1.00209910 11.27480000
1.13066848 11.36990000
1.25923784 11.65060000
1.38780723 12.11520000
1.51637659 12.73090000
1.64494597 13.37960000
1.77351533 13.60300000
1.90208472 12.90610000
2.03065408 12.11960000
2.15922346 12.61680000
2.15922346 12.61680000
2.20467960 12.70160000
2.25013575 12.91430000
2.29559187 13.21290000
2.34104801 13.56760000
2.38650415 13.82170000
2.43196030 14.12600000
2.47741642 14.42750000
2.52287256 14.72840000
2.56832871 15.02150000
2.56832871 15.02150000
2.70469711 14.96520000
2.84106554 14.08370000
2.97743395 13.26320000
3.11380236 12.07780000
3.25017078 11.54220000
3.38653919 11.21520000
3.52290760 11.10620000
3.65927603 11.18800000
3.79564443 11.27480000

0.00000000 11.37340000
0.11134435 12.28860000
0.22268869 13.53800000
0.33403304 14.71310000
0.44537737 15.07840000
0.55672172 14.22900000
0.66806606 13.17840000
0.77941041 12.23720000
0.89075474 11.54400000
1.00209910 11.27480000
1.00209910 11.27480000
1.13066848 11.36990000
1.25923784 11.65060000
1.38780723 12.11530000
1.51637659 12.73090000
1.64494597 13.37960000
1.77351533 13.60300000
1.90208472 13.76490000
2.03065408 13.71290000
2.15922346 13.06470000
2.15922346 13.06470000
2.20467960 13.10390000
2.25013575 13.21490000
2.29559187 13.38230000
2.34104801 13.58910000
2.38650415 13.94860000
2.43196030 14.35370000
2.47741642 14.75880000
2.52287256 15.16430000
2.56832871 15.56650000
2.56832871 15.56650000
2.70469711 15.78160000
2.84106554 15.23100000
2.97743395 13.48280000
3.11380236 13.71920000
3.25017078 13.44200000
3.38653919 12.40540000
3.52290760 11.73340000
3.65927603 11.38240000
3.79564443 11.27480000

0.00000000 13.02340000
0.11134435 13.51540000
0.22268869 14.08790000
0.33403304 14.71310000
0.44537737 15.07840000
0.55672172 14.22900000
0.66806606 13.17840000
0.77941041 12.23720000
0.89075474 11.54400000
1.00209910 11.27480000
1.00209910 11.27480000
1.13066848 11.55420000
1.25923784 12.09860000
1.38780723 12.70660000
1.51637659 13.38280000
1.64494597 14.19260000
1.77351533 15.17550000
1.90208472 14.96660000
2.03065408 13.73460000
2.15922346 13.06470000
2.15922346 13.06470000
2.20467960 13.18530000
2.25013575 13.49080000
2.29559187 13.89690000
2.34104801 14.35500000
2.38650415 14.83760000
2.43196030 15.34050000
2.47741642 15.79940000
2.52287256 16.06910000
2.56832871 15.77720000
2.56832871 15.77720000
2.70469711 15.84920000
2.84106554 16.61560000
2.97743395 16.72400000
3.11380236 15.17470000
3.25017078 15.66650000
3.38653919 14.55650000
3.52290760 13.02240000
3.65927603 11.80180000
3.79564443 11.27480000

0.00000000 19.51380000
0.11134435 18.11080000
0.22268869 16.91570000
0.33403304 16.92820000
0.44537737 17.46740000
0.55672172 18.16720000
0.66806606 17.37720000
0.77941041 16.41450000
0.89075474 15.68130000
1.00209910 15.39600000
1.00209910 15.39600000
1.13066848 15.78890000
1.25923784 16.88190000
1.38780723 18.44860000
1.51637659 18.14050000
1.64494597 16.92160000
1.77351533 16.29720000
1.90208472 16.33500000
2.03065408 17.66450000
2.15922346 18.96590000
2.15922346 18.96600000
2.20467960 18.81450000
2.25013575 18.47920000
2.29559187 18.08510000
2.34104801 17.66970000
2.38650415 17.25660000
2.43196030 16.85600000
2.47741642 16.45970000
2.52287256 16.09140000
2.56832871 15.92140000
2.56832871 15.92140000
2.70469711 16.70940000
2.84106554 16.85110000
2.97743395 17.23750000
3.11380236 17.26220000
3.25017078 16.13400000
3.38653919 17.81490000
3.52290760 16.88120000
3.65927603 15.82000000
3.79564443 15.39600000

0.00000000 20.01950000
0.11134435 20.39350000
0.22268869 18.94960000
0.33403304 17.71690000
0.44537737 17.47430000
0.55672172 18.59900000
0.66806606 20.09490000
0.77941041 21.62930000
0.89075474 22.88850000
1.00209910 23.35790000
1.00209910 23.35780000
1.13066848 22.58450000
1.25923784 21.13010000
1.38780723 19.60190000
1.51637659 18.14050000
1.64494597 16.92160000
1.77351533 16.42520000
1.90208472 17.10700000
2.03065408 18.41080000
2.15922346 18.96670000
2.15922346 18.96840000
2.20467960 18.88670000
2.25013575 18.67090000
2.29559187 18.37000000
2.34104801 18.01670000
2.38650415 17.65430000
2.43196030 17.29410000
2.47741642 16.96920000
2.52287256 16.85710000
2.56832871 17.17540000
2.56832871 17.17550000
2.70469711 17.69940000
2.84106554 17.80040000
2.97743395 17.55210000
3.11380236 18.32480000
3.25017078 18.85220000
3.38653919 18.18870000
3.52290760 20.13670000
3.65927603 22.30240000
3.79564443 23.35820000

